agent,weather,map,route,mtime,frames
interfuser,5,map_05,routes_town05_tiny,1760827878.0,781
interfuser,5,map_06,routes_town06_tiny,1760827611.0,0
interfuser,5,map_07,routes_town07_tiny,1760827634.0,0
interfuser,5,map_10,routes_town10_tiny,1760827643.0,0
interfuser,5,map_02,routes_town02_long,1760704010.0,5070
interfuser,5,map_02,routes_town02_tiny,1760838165.0,4228
interfuser,6,map_01,routes_town01_tiny,1760828432.0,721
interfuser,6,map_02,routes_town02_tiny,1760827954.0,661
interfuser,5,map_05,routes_town05_long,1760707092.0,3981
interfuser,5,map_04,routes_town04_long,1760702574.0,5360
interfuser,5,map_01,routes_town01_long,1760708724.0,7914
interfuser,5,map_03,routes_town03_long,1760707984.0,7441
interfuser,6,map_05,routes_town05_tiny,1760828714.0,781
interfuser,6,map_06,routes_town06_long,1760707590.0,0
interfuser,6,map_06,routes_town06_tiny,1760828382.0,0
interfuser,6,map_07,routes_town07_tiny,1760828384.0,0
interfuser,6,map_10,routes_town10_tiny,1760828395.0,0
interfuser,6,map_02,routes_town02_long,1760705153.0,5108
interfuser,6,map_03,routes_town03_long,1760709200.0,4779
interfuser,7,map_01,routes_town01_tiny,1760829159.0,721
interfuser,6,map_04,routes_town04_long,1760709939.0,5360
interfuser,7,map_02,routes_town02_tiny,1760828701.0,661
interfuser,6,map_05,routes_town05_long,1760713938.0,4664
interfuser,6,map_01,routes_town01_long,1760704146.0,8015
interfuser,7,map_03,routes_town03_tiny,1760829211.0,821
interfuser,7,map_05,routes_town05_tiny,1760828879.0,781
interfuser,7,map_06,routes_town06_long,1760708004.0,0
interfuser,6,map_04,routes_town04_tiny,1760838361.0,8841
interfuser,7,map_06,routes_town06_tiny,1760828498.0,0
interfuser,7,map_02,routes_town02_long,1760714025.0,5182
interfuser,7,map_07,routes_town07_tiny,1760828518.0,0
interfuser,7,map_10,routes_town10_tiny,1760828517.0,0
interfuser,7,map_05,routes_town05_long,1760712209.0,3814
interfuser,8,map_01,routes_town01_tiny,1760829277.0,721
interfuser,7,map_04,routes_town04_long,1760710483.0,5360
interfuser,8,map_02,routes_town02_tiny,1760828847.0,661
interfuser,8,map_03,routes_town03_tiny,1760829320.0,821
interfuser,7,map_03,routes_town03_long,1760714097.0,8492
interfuser,7,map_04,routes_town04_tiny,1760843402.0,8841
interfuser,8,map_05,routes_town05_tiny,1760836836.0,1001
interfuser,8,map_06,routes_town06_long,1760709232.0,0
interfuser,8,map_06,routes_town06_tiny,1760829151.0,0
interfuser,7,map_01,routes_town01_long,1760713418.0,12261
interfuser,8,map_07,routes_town07_tiny,1760829170.0,0
interfuser,8,map_03,routes_town03_long,1760710266.0,4779
interfuser,8,map_10,routes_town10_tiny,1760829190.0,0
interfuser,8,map_02,routes_town02_long,1760713135.0,6206
interfuser,8,map_05,routes_town05_long,1760713117.0,3848
interfuser,8,map_04,routes_town04_long,1760711009.0,5360
interfuser,9,map_03,routes_town03_tiny,1760829555.0,581
interfuser,8,map_01,routes_town01_long,1760716548.0,9101
interfuser,9,map_01,routes_town01_tiny,1760837998.0,3702
interfuser,9,map_03,routes_town03_long,1760714168.0,4779
interfuser,9,map_04,routes_town04_short,1760929129.0,4708
interfuser,9,map_04,routes_town04_long,1760715092.0,5360
interfuser,9,map_06,routes_town06_long,1760713041.0,0
interfuser,9,map_06,routes_town06_tiny,1760829305.0,0
interfuser,9,map_04,routes_town04_tiny,1760835300.0,4758
interfuser,9,map_07,routes_town07_short,1760927350.0,0
interfuser,9,map_07,routes_town07_tiny,1760829319.0,0
interfuser,9,map_02,routes_town02_tiny,1760836371.0,7761
interfuser,9,map_10,routes_town10_short,1760927371.0,0
interfuser,9,map_10,routes_town10_tiny,1760829331.0,0
interfuser,9,map_02,routes_town02_long,1760718349.0,9424
tcp,0,map_01,routes_town01_tiny,1760840394.0,721
tcp,0,map_02,routes_town02_tiny,1760840151.0,661
interfuser,9,map_05,routes_town05_short,1760940312.0,5541
tcp,0,map_03,routes_town03_tiny,1760840425.0,821
interfuser,9,map_05,routes_town05_long,1760721120.0,7298
interfuser,9,map_01,routes_town01_long,1760715056.0,12261
tcp,0,map_04,routes_town04_tiny,1760840162.0,541
tcp,0,map_06,routes_town06_long,1760737600.0,0
tcp,0,map_06,routes_town06_tiny,1760840197.0,0
tcp,0,map_07,routes_town07_tiny,1760840213.0,0
tcp,0,map_10,routes_town10_tiny,1760840229.0,0
tcp,1,map_01,routes_town01_tiny,1760841411.0,741
tcp,0,map_04,routes_town04_long,1760739281.0,5360
tcp,0,map_01,routes_town01_long,1760739595.0,7731
tcp,0,map_05,routes_town05_long,1760742704.0,6134
tcp,1,map_03,routes_town03_tiny,1760840840.0,821
